,id,prism_ppt,prism_tmean,prism_tmin,prism_tmax,prism_tdmean,prism_vpdmin,prism_vpdmax,q_cfs,q_m3day,q_m,q_mm
0,1998-04-24,,,,,,,,252.0,616618.5216652506,0.002069949047204924,2.0699490472049242
1,1998-04-25,,,,,,,,204.0,499167.3746813933,0.00167567303821351,1.6756730382135099
2,1998-04-26,,,,,,,,186.0,455123.19456244685,0.0015278195348417296,1.5278195348417296
3,1998-04-27,,,,,,,,172.0,420866.6100254885,0.0014128223655525672,1.4128223655525671
4,1998-04-28,,,,,,,,160.0,391503.82327952416,0.0013142533633047136,1.3142533633047135
5,1998-04-29,,,,,,,,150.0,367034.8343245539,0.001232112528098169,1.232112528098169
6,1998-04-30,,,,,,,,144.0,352353.44095157174,0.0011828280269742422,1.1828280269742422
7,1998-05-01,,,,,,,,151.0,369481.7332200509,0.0012403266116188234,1.2403266116188234
8,1998-05-02,,,,,,,,164.0,401291.41886151227,0.0013471096973873315,1.3471096973873316
9,1998-05-03,,,,,,,,153.0,374375.531011045,0.0012567547786601324,1.2567547786601323
10,1998-05-04,,,,,,,,143.0,349906.5420560747,0.0011746139434535877,1.1746139434535878
11,1998-05-05,,,,,,,,137.0,335225.1486830926,0.0011253294423296612,1.1253294423296611
12,1998-05-06,,,,,,,,132.0,322990.6542056075,0.0010842590247263889,1.0842590247263888
13,1998-05-07,,,,,,,,128.0,313203.0586236194,0.001051402690643771,1.051402690643771
14,1998-05-08,,,,,,,,124.0,303415.4630416313,0.0010185463565611532,1.0185463565611532
15,1998-05-09,,,,,,,,119.0,291180.96856414614,0.0009774759389578809,0.9774759389578809
16,1998-05-10,,,,,,,,114.0,278946.474086661,0.0009364055213546086,0.9364055213546086
17,1998-05-11,,,,,,,,113.0,276499.575191164,0.0009281914378339542,0.9281914378339542
18,1998-05-12,,,,,,,,146.0,357247.2387425658,0.0011992561940155511,1.199256194015551
19,1998-05-13,,,,,,,,158.0,386610.0254885301,0.0012978251962634047,1.2978251962634046
20,1998-05-14,,,,,,,,130.0,318096.85641461343,0.00106783085768508,1.06783085768508
21,1998-05-15,,,,,,,,119.0,291180.96856414614,0.0009774759389578809,0.9774759389578809
22,1998-05-16,,,,,,,,113.0,276499.575191164,0.0009281914378339542,0.9281914378339542
23,1998-05-17,,,,,,,,109.0,266711.9796091759,0.0008953351037513363,0.8953351037513363
24,1998-05-18,,,,,,,,104.0,254477.48513169072,0.0008542646861480639,0.854264686148064
25,1998-05-19,,,,,,,,100.0,244689.8895497026,0.0008214083520654461,0.821408352065446
26,1998-05-20,,,,,,,,97.0,237349.19286321153,0.0007967661015034827,0.7967661015034827
27,1998-05-21,,,,,,,,94.0,230008.49617672045,0.0007721238509415193,0.7721238509415193
28,1998-05-22,,,,,,,,91.0,222667.79949022937,0.0007474816003795559,0.7474816003795559
29,1998-05-23,,,,,,,,88.0,215327.1028037383,0.0007228393498175925,0.7228393498175925
30,1998-05-24,,,,,,,,86.0,210433.30501274424,0.0007064111827762836,0.7064111827762836
31,1998-05-25,,,,,,,,85.0,207986.4061172472,0.0006981970992556291,0.6981970992556291
32,1998-05-26,,,,,,,,83.0,203092.60832625316,0.0006817689322143202,0.6817689322143202
33,1998-05-27,,,,,,,,87.0,212880.20390824127,0.000714625266296938,0.714625266296938
34,1998-05-28,,,,,,,,644.0,1575802.8887000848,0.005289869787301472,5.289869787301472
35,1998-05-29,,,,,,,,2580.0,6312999.150382328,0.02119233548328851,21.19233548328851
36,1998-05-30,,,,,,,,1180.0,2887340.696686491,0.009692618554372263,9.692618554372263
37,1998-05-31,,,,,,,,616.0,1507289.719626168,0.005059875448723147,5.059875448723147
38,1998-06-01,,,,,,,,432.0,1057060.3228547154,0.0035484840809227275,3.5484840809227274
39,1998-06-02,,,,,,,,341.0,834392.5233644859,0.002801002480543171,2.801002480543171
40,1998-06-03,,,,,,,,289.0,707153.7807986406,0.002373870137469139,2.373870137469139
41,1998-06-04,,,,,,,,255.0,623959.2183517417,0.002094591297766888,2.094591297766888
42,1998-06-05,,,,,,,,225.0,550552.2514868309,0.0018481687921472537,1.8481687921472536
43,1998-06-06,,,,,,,,203.0,496720.4757858963,0.0016674589546928555,1.6674589546928555
44,1998-06-07,,,,,,,,187.0,457570.0934579439,0.001536033618362384,1.5360336183623842
45,1998-06-08,,,,,,,,175.0,428207.30671197956,0.0014374646161145305,1.4374646161145306
46,1998-06-09,,,,,,,,161.0,393950.7221750212,0.001322467446825368,1.322467446825368
47,1998-06-10,,,,,,,,150.0,367034.8343245539,0.001232112528098169,1.232112528098169
48,1998-06-11,,,,,,,,144.0,352353.44095157174,0.0011828280269742422,1.1828280269742422
49,1998-06-12,,,,,,,,138.0,337672.04757858964,0.0011335435258503156,1.1335435258503157
50,1998-06-13,,,,,,,,131.0,320543.75531011046,0.0010760449412057344,1.0760449412057345
51,1998-06-14,,,,,,,,123.0,300968.56414613425,0.0010103322730404987,1.0103322730404987
52,1998-06-15,,,,,,,,115.0,281393.37298215803,0.0009446196048752631,0.9446196048752631
53,1998-06-16,,,,,,,,109.0,266711.9796091759,0.0008953351037513363,0.8953351037513363
54,1998-06-17,,,,,,,,104.0,254477.48513169072,0.0008542646861480639,0.854264686148064
55,1998-06-18,,,,,,,,99.0,242242.99065420558,0.0008131942685447916,0.8131942685447916
56,1998-06-19,,,,,,,,95.0,232455.39507221748,0.0007803379344621737,0.7803379344621737
57,1998-06-20,,,,,,,,93.0,227561.59728122342,0.0007639097674208648,0.7639097674208648
58,1998-06-21,,,,,,,,90.0,220220.90059473235,0.0007392675168589014,0.7392675168589015
59,1998-06-22,,,,,,,,88.0,215327.1028037383,0.0007228393498175925,0.7228393498175925
60,1998-06-23,,,,,,,,85.0,207986.4061172472,0.0006981970992556291,0.6981970992556291
61,1998-06-24,,,,,,,,82.0,200645.70943075613,0.0006735548486936657,0.6735548486936658
62,1998-06-25,,,,,,,,79.0,193305.01274426506,0.0006489125981317023,0.6489125981317023
63,1998-06-26,,,,,,,,76.0,185964.31605777398,0.000624270347569739,0.624270347569739
64,1998-06-27,,,,,,,,74.0,181070.51826677992,0.00060784218052843,0.60784218052843
65,1998-06-28,,,,,,,,69.0,168836.02378929482,0.0005667717629251578,0.5667717629251579
66,1998-06-29,,,,,,,,67.0,163942.22599830077,0.0005503435958838489,0.5503435958838488
67,1998-06-30,,,,,,,,64.0,156601.5293118097,0.0005257013453218855,0.5257013453218855
68,1998-07-01,,,,,,,,62.0,151707.73152081564,0.0005092731782805766,0.5092731782805766
69,1998-07-02,,,,,,,,60.0,146813.93372982158,0.0004928450112392677,0.49284501123926766
70,1998-07-03,,,,,,,,59.0,144367.03483432456,0.00048463092771861325,0.48463092771861327
